Change Physical Footprint: Designator=1 Old Footprint=TI-PWP24 New Footprint=TI-PWP24
Change Physical Footprint: Designator=TP_IOREF1 Old Footprint=SMD Test Hook New Footprint=SMD Test Hook
Change Physical Footprint: Designator=TP_ISENA1 Old Footprint=SMD Test Hook New Footprint=SMD Test Hook
Change Physical Footprint: Designator=TP_ISENB1 Old Footprint=SMD Test Hook New Footprint=SMD Test Hook
Change Physical Footprint: Designator=TP_PWM1 Old Footprint=SMD Test Hook New Footprint=SMD Test Hook
Change Physical Footprint: Designator=TP_RST1 Old Footprint=SMD Test Hook New Footprint=SMD Test Hook
Change Physical Footprint: Designator=TP_SRV1 Old Footprint=SMD Test Hook New Footprint=SMD Test Hook
Change Physical Footprint: Designator=TP_VFB1 Old Footprint=SMD Test Hook New Footprint=SMD Test Hook
Change Physical Footprint: Designator=U1 Old Footprint=MCHP-SOT-23-OT6_N New Footprint=MCHP-SOT-23-OT6_N
Change Physical Footprint: Designator=U2 Old Footprint=SOT-23-5 New Footprint=SOT-23-5
Change Physical Footprint: Designator=U3 Old Footprint=SOT-23-8 New Footprint=SOT-23-8
Change Physical Footprint: Designator=U4 Old Footprint=TSSOP-16 New Footprint=TSSOP-16
Change Physical Footprint: Designator=U5 Old Footprint=MCHP-SOIC-SN8_N New Footprint=MCHP-SOIC-SN8_N
Change Physical Footprint: Designator=U6 Old Footprint=SSOP-20 New Footprint=SSOP-20
Change Physical Footprint: Designator=U7 Old Footprint=TI-PWP28 New Footprint=TI-PWP28
Change Physical Footprint: Designator=U8 Old Footprint=ONSC-SOT-363-6-419B-02_V New Footprint=ONSC-SOT-363-6-419B-02_V
Change Physical Footprint: Designator=U9 Old Footprint=ONSC-SOT-363-6-419B-02_V New Footprint=ONSC-SOT-363-6-419B-02_V
